title,slug,intent,cluster,funnel_stage,original_asset,cta,engineer_review_state
আইসোলেটেড ফুটিংয়ের সাইজ যাচাই — ধাপে ধাপে হিসাব,isolated-footing-size-check-bangla,informational,foundation-geotechnical,awareness,"সংখ্যাসহ ওয়ার্কড উদাহরণ + চাপ বণ্টন ডায়াগ্রাম",RCC ফুটিং কোর্সে যান,published
AutoCAD লেয়ার স্ট্যান্ডার্ড — একটি টিমের জন্য কার্যকর কাঠামো,autocad-layer-standard-bangla,informational,autocad-productivity,awareness,"লেয়ার নামকরণ টেবিল + রঙ/লাইনওয়েট ম্যাপ",AutoCAD প্রোডাক্টিভিটি কোর্স,published
ওয়ান-ওয়ে স্ল্যাবের বেধ নির্ধারণ — deflection নিয়ন্ত্রণের সহজ হিসাব,one-way-slab-thickness-bangla,informational,rcc-design-detailing,awareness,"span/depth হিসাব + লোড টেবিল",ব্লগ সাবস্ক্রিপশন,published
রড ল্যাপ লেংথ — ফিল্ডে কাজে লাগে এমন হিসাব,rebar-lap-length-quick-reference-bangla,informational,rcc-design-detailing,consideration,"ল্যাপ লেংথ হিসাব + প্রভাবক টেবিল",RCC ফুটিং কোর্স,published
NB Engineering Tools দিয়ে একটি ড্রয়িং সেট তৈরির ওয়ার্কফ্লো,nb-engineering-tools-workflow-overview,commercial,engineering-software,decision,"প্রতিটি ধাপের স্ক্রিনশট",টুলস কিনুন,draft
BNBC অনুযায়ী লোড কম্বিনেশন — কাজের নোট,bnbc-load-combination-notes,informational,bnbc-code-application,awareness,"কম্বিনেশন টেবিল + একটি উদাহরণ",ব্লগ সাবস্ক্রিপশন,draft
দুই-মুখী (punching) shear যাচাই — ফুটিং ডিজাইনের সবচেয়ে ভুল হওয়া ধাপ,punching-shear-check-bangla,informational,foundation-geotechnical,awareness,"critical perimeter ডায়াগ্রাম + হিসাব",RCC ফুটিং কোর্স,planned
কম্বাইন্ড ফুটিং কখন লাগে এবং কীভাবে সাইজ করবেন,combined-footing-when-and-how,informational,foundation-geotechnical,consideration,"লোড সেন্ট্রয়েড হিসাব + লেআউট",RCC ফুটিং কোর্স,planned
মাটির রিপোর্ট কীভাবে পড়বেন — SPT থেকে bearing capacity,reading-soil-report-spt-bangla,informational,foundation-geotechnical,awareness,"নমুনা রিপোর্টের ব্যাখ্যা (মৌলিক)",ব্লগ সাবস্ক্রিপশন,planned
কলামের ন্যূনতম ও সর্বোচ্চ রড — কোড কী বলে,column-reinforcement-limits-bangla,informational,rcc-design-detailing,awareness,"সীমার টেবিল + একটি উদাহরণ",ব্লগ সাবস্ক্রিপশন,planned
বিম ডিটেইলিং — কার্টেইলমেন্ট ও ল্যাপের ব্যবহারিক নিয়ম,beam-detailing-curtailment-bangla,informational,rcc-design-detailing,consideration,"ডিটেইলিং ড্রয়িং",RCC কোর্স,planned
স্ল্যাবে ডিস্ট্রিবিউশন রড — কেন এবং কতটা,slab-distribution-steel-bangla,informational,rcc-design-detailing,awareness,"হিসাব + ড্রয়িং",ব্লগ সাবস্ক্রিপশন,planned
AutoCAD টেমপ্লেট ফাইল তৈরি — একবার সেট করে বারবার ব্যবহার,autocad-template-setup-bangla,informational,autocad-productivity,awareness,"টেমপ্লেট চেকলিস্ট",AutoCAD কোর্স,planned
Sheet set ও প্লট সেটআপ — ২০ শিটের সেট এক ক্লিকে,autocad-sheet-set-plotting-bangla,informational,autocad-productivity,consideration,"স্ক্রিনশট সিরিজ",AutoCAD কোর্স,planned
ডাইনামিক ব্লক দিয়ে ডিটেইল লাইব্রেরি,autocad-dynamic-blocks-detail-library,informational,autocad-productivity,consideration,"ব্লক লাইব্রেরি উদাহরণ",AutoCAD কোর্স,planned
অ্যানোটেশন স্কেল — যে ভুলটি সবচেয়ে বেশি সময় নষ্ট করে,autocad-annotation-scale-bangla,informational,autocad-productivity,awareness,"তুলনামূলক স্ক্রিনশট",AutoCAD কোর্স,planned
LISP ছাড়া AutoCAD অটোমেশন — কোথায় সীমা,autocad-automation-without-lisp,informational,engineering-software,consideration,"তুলনা টেবিল",NB Engineering Tools,planned
